BlockID	dist_dtown	lg_den_parc	lg_den_FinSQM2	dist_line	dum_400m	dum_800m	dum_1200m	dum_1600m	dum_2400m	dum_3200m	dum_4800m	dum_6400m	dum_8000m	dum_8000mL	tot_parc	tot_FinSQm2	tot_line_len	Period
20	44208.0	-6.162408762929498	-4.058605056100204	37613.0	0	0	0	0	0	0	0	0	0	1	30625.0	127.0	329934.06	0
25	45400.0	-5.492373416051628	-3.349358603656776	38701.0	0	0	0	0	0	0	0	0	0	1	30625.0	266.0	329934.06	0
45	40255.0	-4.885491275642585	-2.758386468672705	33627.0	0	0	0	0	0	0	0	0	0	1	30625.0	400.0	329934.06	0
68	36596.0	-5.801826823970911	-3.6257355624125154	30101.0	0	0	0	0	0	0	0	0	0	1	30625.0	550.0	329934.06	0
77	40565.0	-5.972000078669687	-3.8321209983063795	34609.0	0	0	0	0	0	0	0	0	0	1	30625.0	1240.0	329934.06	0
132	44410.0	-6.182766064446745	-3.9945408708369783	38494.0	0	0	0	0	0	0	0	0	0	1	30625.0	1857.0	329934.06	0
135	41907.0	-5.855008839626525	-3.7615871544642903	35734.0	0	0	0	0	0	0	0	0	0	1	30625.0	1981.0	329934.06	0
235	47410.0	-4.099162510519804	-2.1168912642454867	40321.0	0	0	0	0	0	0	0	0	0	1	30625.0	2077.0	329934.06	0
259	44505.0	-5.93907724511804	-3.9137713855208007	37424.0	0	0	0	0	0	0	0	0	0	1	30625.0	2183.0	329934.06	0
260	44683.0	-5.584003126995385	-3.5084561662396654	37622.0	0	0	0	0	0	0	0	0	0	1	30625.0	2302.0	329934.06	0
300	37886.0	-5.574260138570031	-3.595015357828851	30840.0	0	0	0	0	0	0	0	0	0	1	30625.0	2588.0	329934.06	0
333	42060.0	-5.80089365776522	-3.8766143464326097	35366.0	0	0	0	0	0	0	0	0	0	1	30625.0	2672.0	329934.06	0
340	40118.0	-5.383046615344416	-2.964745319654372	33319.0	0	0	0	0	0	0	0	0	0	1	30625.0	2934.0	329934.06	0
413	48985.0	-5.730300087580762	-3.766512276386034	42419.0	0	0	0	0	0	0	0	0	0	1	30625.0	3026.0	329934.06	0
599	40595.0	-6.982350989643381	-4.895991140996593	33257.0	0	0	0	0	0	0	0	0	0	1	30625.0	3148.0	329934.06	0
663	36748.0	-6.193353390651428	-4.084450253238749	31888.0	0	0	0	0	0	0	0	0	0	1	30625.0	3405.0	329934.06	0
729	33495.0	-6.009964761216392	-3.6297535228727544	27973.0	0	0	0	0	0	0	0	0	0	1	30625.0	3645.0	329934.06	0
763	38725.0	-6.5080215885158985	-4.346653590394119	33355.0	0	0	0	0	0	0	0	0	0	1	30625.0	3790.0	329934.06	0
786	36993.0	-5.898410863466913	-3.7052862781376428	31406.0	0	0	0	0	0	0	0	0	0	1	30625.0	3946.0	329934.06	0
799	35927.0	-5.997626200746519	-3.7908003195297293	30665.0	0	0	0	0	0	0	0	0	0	1	30625.0	4107.0	329934.06	0
857	31318.0	-6.067792601266651	-3.981432750722879	25596.0	0	0	0	0	0	0	0	0	0	1	30625.0	4229.0	329934.06	0
1294	35088.0	-6.0479668471374435	-4.088925476023778	27795.0	0	0	0	0	0	0	0	0	0	1	30625.0	4320.0	329934.06	0
1340	29455.0	-6.063648544646401	-3.899295689645069	22250.0	0	0	0	0	0	0	0	0	0	1	30625.0	4466.0	329934.06	0
1459	23896.0	-4.101093764486804	-2.0255467896888275	20312.0	0	0	0	0	0	0	0	0	0	1	30625.0	4585.0	329934.06	0
1548	23096.0	-5.894582709556215	-3.7302298431600938	20183.0	0	0	0	0	0	0	0	0	0	1	30625.0	4877.0	329934.06	0
1558	21057.0	-6.26035405732792	-4.024825611465934	18224.0	0	0	0	0	0	0	0	0	0	1	30625.0	5049.0	329934.06	0
1573	24019.0	-4.908361687310583	-2.753025633517521	20237.0	0	0	0	0	0	0	0	0	0	1	30625.0	5192.0	329934.06	0
1577	21723.0	-5.737633075550685	-3.297511489063415	15466.0	0	0	0	0	0	0	0	0	0	1	30625.0	5743.0	329934.06	0
1601	20197.0	-5.901873361551125	-3.83929137715245	13375.0	0	0	0	0	0	0	0	0	0	1	30625.0	5974.0	329934.06	0
1611	27509.0	-4.107101393202171	-2.0777176083366107	21875.0	0	0	0	0	0	0	0	0	0	1	30625.0	6509.0	329934.06	0
