tractID	dist_dtown	den_parc	den_FinSQM2	den_line	lg_den_parc	lg_den_FinSQM2	dist_line	tot_parc	tot_FinSQM2	tot_line_len	Period
3	2872.0	4.4466817E-4	0.10510338	0.0016016647	-3.3519639563566863	-0.9783833133103079	253	30625.0	59090.906	281973.1	0
9	4282.0	1.085372E-5	0.0011260734	0.0013669989	-4.964421398911863	-2.9484332936154245	849	30625.0	60750.906	281973.1	0
12	2446.0	2.9713535E-4	0.055953417	0.002129076	-3.5270456725353356	-1.2521733867520906	957	30625.0	85607.766	281973.1	0
13	3663.0	2.1090565E-4	0.05668221	0.0	-3.675911782953002	-1.2465532220699465	409	30625.0	129146.28	281973.1	0
14	4664.0	1.11620764E-4	0.01709193	0.0018342611	-3.952255008949376	-1.7672088967258772	315	30625.0	140630.66	281973.1	0
16	4524.0	3.0601776E-5	0.0054853684	0.001265418	-4.5142533751422524	-2.2607941975530053	127	30625.0	147442.16	281973.1	0
32	5177.0	6.622635E-5	0.0102780685	0.0013679138	-4.178969191279168	-1.9880884929326137	82	30625.0	155512.36	281973.1	0
33	3700.0	1.0834738E-4	0.0127497455	0.0	-3.965181572061634	-1.8944984838167345	835	30625.0	175046.36	281973.1	0
36	2219.0	3.9762617E-4	0.11371101	0.0025034323	-3.400525045374639	-0.9441974946642159	227	30625.0	274279.56	281973.1	0
40	6227.0	4.0089933E-5	0.007892097	0.0011242767	-4.396964664538032	-2.102807566503934	127	30625.0	295934.16	281973.1	0
46	6374.0	4.9640903E-6	3.9216314E-4	0.0	-5.304160327496834	-3.406533225127141	1216	30625.0	296645.16	281973.1	0
49	2127.0	1.9838894E-4	0.043149594	0.002533449	-3.702482547705949	-1.3650232840718857	352	30625.0	319700.16	281973.1	0
52	1798.0	3.0105127E-4	0.06623128	0.005060029	-3.5213595310089314	-1.1789368478966349	72	30625.0	394280.16	281973.1	0
57	2226.0	5.1821786E-4	0.063682556	0.0010183082	-3.2854876255776504	-1.1959795127864379	618	30625.0	449456.7	281973.1	0
62	3270.0	3.831746E-4	0.05306968	0.002552402	-3.4166032874639933	-1.275153523471261	789	30625.0	492807.2	281973.1	0
64	8306.0	3.119643E-6	4.648268E-4	0.0	-5.5058951025168215	-3.3327088466384223	1398	30625.0	493403.2	281973.1	0
65	2864.0	1.4223078E-4	0.026597155	0.0019438434	-3.8470063983713745	-1.5751648115567123	39	30625.0	512851.2	281973.1	0
70	3893.0	3.223599E-5	0.0039245603	1.9574497E-4	-4.491659010142832	-2.4062089972897485	1372	30625.0	518694.94	281973.1	0
71	2297.0	1.1677741E-4	0.039042585	0.0023159431	-3.9326411617018286	-1.4084614399929785	5	30625.0	552128.25	281973.1	0
72	8074.0	1.700545E-5	0.0015078164	0.0	-4.769411871478465	-2.821651545801273	3734	30625.0	556827.56	281973.1	0
75	5179.0	5.2270138E-5	0.0068055717	0.0	-4.2817463572092	-2.167135384399101	454	30625.0	561254.4	281973.1	0
78	5106.0	6.3696694E-5	0.007262992	4.840918E-4	-4.195883106092442	-2.1388844218272713	50	30625.0	584857.5	281973.1	0
91	12814.0	1.6643768E-5	0.0025409488	2.7330502E-4	-4.778748357117962	-2.5950040857481245	3646	30625.0	592643.5	281973.1	0
93	3861.0	1.6994968E-4	0.023169804	4.0319405E-4	-3.769679651831679	-1.6350776331846313	305	30625.0	615683.8	281973.1	0
95	2348.0	1.1473363E-4	0.015517723	0.0024774163	-3.9403092667423865	-1.809172009967069	184	30625.0	625016.06	281973.1	0
97	1750.0	1.9101301E-4	0.018655604	0.0018988368	-3.7189370549197767	-1.7291906913179036	157	30625.0	636150.06	281973.1	0
104	4281.0	4.2469136E-4	0.059881482	0.0011356823	-3.3719265747856606	-1.222707457908731	407	30625.0	672528.06	281973.1	0
112	5104.0	1.9898802E-5	0.0026596321	6.6321174E-4	-4.701173072871139	-2.5751784298176768	1231	30625.0	677740.75	281973.1	0
114	2372.0	1.7848902E-4	0.02547931	0.0016545606	-3.7483884969950805	-1.5938123498166554	115	30625.0	701151.75	281973.1	0
115	4373.0	1.08153065E-4	0.014005822	0.0012199285	-3.9659611703753486	-1.8536913933847492	196	30625.0	710346.25	281973.1	0
117	6301.0	2.9143239E-6	5.012637E-4	0.001093826	-5.535462184144667	-3.299933734085177	1959	30625.0	711034.25	281973.1	0
124	11223.0	5.034362E-5	0.0065466445	9.942236E-4	-4.298055556018088	-2.1839812421715172	7520	30625.0	724558.3	281973.1	0
127	4794.0	9.353414E-5	0.012346506	3.131398E-4	-4.029029853183226	-1.908455924024859	407	30625.0	732478.3	281973.1	0
143	5631.0	8.937893E-6	0.0013417053	5.034682E-4	-5.048764861233762	-2.8723428559583093	245	30625.0	737732.3	281973.1	0
152	5355.0	1.9946741E-5	0.002026589	0.0	-4.7001280448034555	-2.6932343427806105	2170	30625.0	739561.1	281973.1	0
156	3144.0	2.8543887E-4	0.0378492	0.0020823095	-3.5444868818658595	-1.4219433067031848	865	30625.0	755738.3	281973.1	0
161	2054.0	1.2923215E-4	0.018450847	0.002477179	-3.8886294169506552	-1.7339836948906122	215	30625.0	802282.25	281973.1	0
167	2458.0	2.1680747E-4	0.033983976	0.003788653	-3.6639257552810816	-1.468725816126994	115	30625.0	834258.7	281973.1	0
168	2561.0	4.883484E-4	0.06695606	0.0011614553	-3.3112702115980026	-1.1742101221661327	301	30625.0	874156.9	281973.1	0
172	6181.0	8.236322E-6	0.0012107394	0.0	-5.084266673772433	-2.9169493351094076	1413	30625.0	875920.9	281973.1	0
178	5238.0	4.904389E-5	0.007810239	0.0011147676	-4.3094150848887045	-2.1073356642117287	1549	30625.0	885475.9	281973.1	0
