,blockid,dist_dtown,lg_den_parc,lg_den_finsqft,dum_400m,dum_800m,dum_1200m,dum_1600m,dum_2400m,dum_3200m,dum_4800m,dum_6400m,dum_8000m,year
62,1209,38110,-6.4597383,-4.553942,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
63,1222,36111,-5.36752,-3.221392,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
64,1239,30580,-6.7801943,-4.7631607,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
65,1240,30807,-7.2666388,-5.5184507,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
66,1259,34465,-5.6082234,-3.4620953,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
67,1293,35451,-5.90093,-3.8272116,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
68,1314,34055,-5.9224524,-3.963411,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
69,1315,32984,-6.4725294,-4.4682083,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
70,1326,35640,-6.7362685,-4.495719,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
71,1328,34901,-6.0360565,-3.9641745,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
72,1338,29980,-6.6069813,-4.4702606,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
73,1344,27727,-6.5679874,-4.340101,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
74,1446,26955,-5.9441476,-3.9355474,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
75,1452,26021,-6.154453,-4.195411,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
76,1457,24450,-5.768251,-3.795123,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
77,1459,23896,-4.101094,-2.0255468,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
78,1498,28107,-6.3116326,-4.419538,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
79,1532,26552,-4.9625826,-2.848639,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
80,1548,23096,-5.8945827,-3.7302299,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
81,1550,23819,-3.9584205,-2.066326,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
82,1551,23808,-4.000217,-2.091732,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
83,1552,23706,-4.0553403,-1.9413967,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
84,1558,21057,-6.260354,-4.296566,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
85,1577,21723,-6.038663,-3.8318372,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
86,1601,20197,-6.2029033,-4.1615105,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
87,1611,27509,-4.2040114,-2.1490154,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
88,1612,27668,-5.775895,-3.6586237,0,0,0,1,0,0,0.0,0.0,0.0,1890.0
89,1615,27110,-4.7381225,-2.6812174,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
90,1618,27285,-4.2591395,-2.1451964,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
91,1622,26938,-3.6612446,-1.5309108,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
92,1625,26842,-4.414589,-2.350131,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
93,1626,26721,-3.8294754,-1.6601928,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
94,1628,26767,-4.3982353,-2.4251075,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
95,1632,26778,-4.895345,-2.9222174,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
96,1633,27072,-3.9765105,-1.868453,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
97,1634,27151,-4.254125,-2.2339709,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
98,1635,26618,-3.7174625,-1.6840388,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
99,1636,26828,-4.174118,-2.148812,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
100,1638,26714,-4.291369,-2.1514897,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
101,1642,26596,-3.9775636,-1.8858967,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
102,1643,26663,-4.2933183,-2.1727445,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
103,1644,26829,-4.676721,-2.556147,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
104,1647,26339,-4.0008893,-1.8350518,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
105,1648,25954,-5.0338054,-2.536876,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
106,1649,26192,-3.9368153,-1.510304,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
107,1651,26287,-4.445137,-2.419831,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
108,1653,26994,-4.0256743,-2.0714319,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
109,1656,26385,-4.023931,-1.9747132,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
110,1657,26328,-4.0093236,-1.7305698,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
111,1658,26415,-3.6571515,-1.4557544,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
112,1664,27072,-4.514614,-2.435433,0,0,0,1,0,0,0.0,0.0,0.0,1890.0
113,1669,27237,-4.994062,-3.0028358,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
114,1677,26872,-4.704545,-2.5461826,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
115,1682,26343,-5.1796093,-2.9491603,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
116,1696,28847,-4.518132,-2.4767394,0,0,0,0,0,1,0.0,0.0,0.0,1890.0
117,1711,26967,-4.418285,-2.440561,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
118,1712,26874,-4.1775656,-2.2744753,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
119,1714,27023,-4.01536,-1.8754807,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
120,1716,26701,-3.3882565,-1.3603976,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
121,1717,26607,-4.325803,-2.239443,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
122,1718,26536,-4.0336447,-1.9544636,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
123,1719,26436,-4.3425016,-2.1811335,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
124,1720,26507,-3.6571133,-1.498148,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
125,1721,26410,-3.8171465,-1.666902,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
126,1722,26338,-4.027472,-1.9340502,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
127,1723,26235,-4.1715803,-2.2030973,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
128,1724,26297,-3.8679829,-1.6755548,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
129,1726,26143,-3.6104472,-1.4820479,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
130,1730,26679,-4.2350106,-1.9907334,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
131,1731,26816,-4.2035494,-2.1582267,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
132,1732,27166,-4.331994,-2.358866,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
133,1736,25959,-4.0175967,-1.7922875,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
134,1738,25937,-4.0093446,-1.9601266,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
135,1739,25862,-4.0491986,-1.9575317,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
136,1740,25765,-4.351081,-2.230507,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
137,1741,25837,-3.998063,-1.858184,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
138,1744,25532,-4.163022,-2.1349933,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
139,1749,25343,-4.616507,-2.5830832,0,1,0,0,0,0,0.0,0.0,0.0,1890.0
140,1751,25045,-4.984158,-2.912276,0,0,1,0,0,0,0.0,0.0,0.0,1890.0
141,1753,24874,-4.8784614,-2.6195848,0,0,0,1,0,0,0.0,0.0,0.0,1890.0
