,tractid,dist_dtown,den_parc,den_finsqft,den_line,lg_den_parc,lg_den_finsqft,tot_parc,tot_finsqft,tot_line_len,period,chg_tot_finsqft,chg_den_line,chg_den_finsqft,chg_tot_line_len
21,4,4282,2.8490995e-05,0.0027921174,0.00056238106,-4.5452924,-2.5540664,45857,153637.03,325355.22,4,53675.78,0.0,0.00096224935,15971.0625
22,4,4282,5.494692e-05,0.0052513555,0.00056238106,-4.2600565,-2.2797287,62637,190392.67,389052.62,5,36755.64,0.0,0.002459238,63697.406
23,4,4282,6.78357e-05,0.0071566664,0.00056238106,-4.168542,-2.1452892,76354,218633.47,405158.72,6,28240.797,0.0,0.0019053109,16106.094
24,4,4282,8.004613e-05,0.008558265,0.00056238106,-4.0966597,-2.0676143,101258,287824.16,427340.4,7,69190.69,0.0,0.0014015986,22181.688
25,4,4282,9.022148e-05,0.009575507,0.00056238106,-4.04469,-2.0188382,115969,317931.53,442741.84,8,30107.375,0.0,0.0010172417,15401.4375
26,6,14732,5.7888235e-07,6.599259e-05,0.0,-6.2374096,-4.180505,25179,69503.41,281973.1,2,,,,
27,6,14732,6.7536274e-07,7.699135e-05,0.0,-6.170463,-4.113558,32109,109867.19,309384.16,3,40363.78,0.0,1.09987595e-05,27411.062
28,6,14732,1.7366472e-06,0.00019103118,0.0,-5.7602882,-3.7188957,45857,167245.61,325355.22,4,57378.42,0.0,0.00011403983,15971.0625
29,6,14732,2.219049e-06,0.00028792163,0.00011660427,-5.653833,-3.5407257,62637,205662.25,389052.62,5,38416.64,0.00011660427,9.689045e-05,63697.406
30,6,14732,2.701451e-06,0.00035051326,0.0001366389,-5.568403,-3.4552956,76354,234862.53,405158.72,6,29200.281,2.0034633e-05,6.259163e-05,16106.094
31,6,14732,3.183853e-06,0.00041310492,0.0001366389,-5.497047,-3.3839397,101258,305138.62,427340.4,7,70276.09,0.0,6.259166e-05,22181.688
32,6,14732,3.9556962e-06,0.0005132516,0.0001366389,-5.402777,-3.2896698,115969,336284.0,442741.84,8,31145.375,0.0,0.00010014666,15401.4375
33,7,2446,0.00020034125,0.040320534,0.0009772244,-3.6982296,-1.3944737,9229,23538.574,152356.6,0,,,,
34,7,2446,0.00023635766,0.045331936,0.002774328,-3.6264303,-1.3435957,10910,26932.316,273684.16,1,3393.7422,0.0017971036,0.005011402,121327.56
35,7,2446,0.00030613944,0.057648975,0.002774328,-3.5140808,-1.2392085,25179,95113.5,281973.1,2,68181.19,0.0,0.012317039,8288.9375
36,7,2446,0.00038492534,0.072134055,0.002774328,-3.4146235,-1.1418597,32109,141912.16,309384.16,3,46798.656,0.0,0.01448508,27411.062
37,7,2446,0.00042544378,0.08005474,0.002774328,-3.371158,-1.0966129,45857,202809.28,325355.22,4,60897.125,0.0,0.007920682,15971.0625
38,7,2446,0.0005267399,0.09468812,0.002774328,-3.2784038,-1.0237045,62637,247726.69,389052.62,5,44917.406,0.0,0.01463338,63697.406
39,7,2446,0.00054699916,0.09765145,0.002774328,-3.2620134,-1.0103213,76354,278243.4,405158.72,6,30516.719,0.0,0.0029633343,16106.094
40,7,2446,0.0005740115,0.10282588,0.002774328,-3.2410793,-0.9878976,101258,350818.2,427340.4,7,72574.78,0.0,0.005174428,22181.688
41,7,2446,0.0005762625,0.10322912,0.002774328,-3.2393796,-0.98619777,115969,382142.72,442741.84,8,31324.531,0.0,0.00040324032,15401.4375
42,8,3663,8.462263e-05,0.022509621,0.0020457106,-4.0725136,-1.6476318,9229,40828.574,152356.6,0,,,,
43,8,3663,0.00013279244,0.034750454,0.0020457106,-3.8768268,-1.4590396,10910,53624.695,273684.16,1,12796.121,0.0,0.012240833,121327.56
44,8,3663,0.00021090565,0.05668221,0.0020457106,-3.6759117,-1.2465532,25179,138652.02,281973.1,2,85027.32,0.0,0.021931756,8288.9375
45,8,3663,0.00029032072,0.076610364,0.0020457106,-3.537122,-1.1157125,32109,200757.8,309384.16,3,62105.78,0.0,0.019928154,27411.062
46,8,3663,0.00047518863,0.12215392,0.0020457106,-3.323134,-0.91309255,45857,296637.66,325355.22,4,95879.86,0.0,0.04554356,15971.0625
47,8,3663,0.00071473577,0.17048699,0.0020457106,-3.1458545,-0.76830876,62637,378680.47,389052.62,5,82042.81,0.0,0.048333064,63697.406
48,8,3663,0.00080716977,0.18871549,0.0030706027,-3.0930352,-0.72419244,76354,423198.8,405158.72,6,44518.344,0.0010248921,0.018228501,16106.094
49,8,3663,0.0009477735,0.2166721,0.0030706027,-3.0232954,-0.664197,101258,517247.5,427340.4,7,94048.69,0.0,0.027956605,22181.688
50,8,3663,0.0009699056,0.22166592,0.0030706027,-3.0132706,-0.65430105,115969,552407.9,442741.84,8,35160.375,0.0,0.004993826,15401.4375
51,9,4664,0.00011310904,0.017319823,0.0,-3.9465027,-1.7614566,25179,150289.52,281973.1,2,,,,
52,9,4664,0.00018901116,0.028674107,0.0,-3.7235126,-1.5425102,32109,220024.44,309384.16,3,69734.92,0.0,0.011354284,27411.062
53,9,4664,0.00035867473,0.05483738,0.0,-3.4452991,-1.2609233,45857,333483.88,325355.22,4,113459.44,0.0,0.026163273,15971.0625
54,9,4664,0.0005328031,0.07917454,0.0,-3.2734332,-1.1014144,62637,431879.28,389052.62,5,98395.41,0.0,0.024337161,63697.406
55,9,4664,0.00065781834,0.09976912,0.0,-3.181894,-1.0010039,76354,490235.5,405158.72,6,58356.22,0.0,0.020594582,16106.094
56,9,4664,0.0008885013,0.13654257,0.0,-3.051342,-0.8647319,101258,608992.94,427340.4,7,118757.44,0.0,0.03677345,22181.688
57,9,4664,0.0010670945,0.16449672,0.0,-2.9717972,-0.78384274,115969,662936.2,442741.84,8,53943.25,0.0,0.027954146,15401.4375
58,10,4524,1.20796285e-05,0.0020707936,0.0035638858,-4.9179463,-2.6838632,9229,43400.004,152356.6,0,,,,
59,10,4524,1.771679e-05,0.0032404005,0.0054511838,-4.751615,-2.4894013,10910,57648.496,273684.16,1,14248.492,0.001887298,0.0011696068,121327.56
60,10,4524,3.2212345e-05,0.0057740626,0.005115818,-4.4919777,-2.2385185,25179,157459.52,281973.1,2,99811.016,-0.00033536553,0.0025336621,8288.9375
61,10,4524,8.053086e-05,0.014334493,0.005115818,-4.0940375,-1.8436177,32109,237824.44,309384.16,3,80364.92,0.0,0.00856043,27411.062
62,10,4524,0.00025769876,0.044788543,0.005115818,-3.5888877,-1.3488331,45857,389100.5,325355.22,4,151276.06,0.0,0.03045405,15971.0625
63,10,4524,0.0004614418,0.076389596,0.005115818,-3.3358831,-1.1169658,62637,526736.8,389052.62,5,137636.31,0.0,0.031601053,63697.406
64,10,4524,0.0005403621,0.08762956,0.0048992885,-3.2673151,-1.0573494,76354,599050.4,405158.72,6,72313.56,-0.0002165297,0.011239961,16106.094
65,10,4524,0.0007859812,0.12166989,0.0048992885,-3.1045878,-0.9148169,101258,760077.75,427340.4,7,161027.38,0.0,0.03404033,22181.688
66,10,4524,0.0008439634,0.13155119,0.0048992885,-3.0736763,-0.8809052,115969,826291.2,442741.84,8,66213.44,0.0,0.009881303,15401.4375
67,11,15422,7.528939e-07,0.00018220034,3.3652163e-05,-6.123266,-3.739451,9229,46304.004,152356.6,0,,,,
68,11,15422,8.156351e-07,0.00019738369,6.7388195e-05,-6.0885043,-3.7046888,10910,60794.496,273684.16,1,14490.492,3.3736032e-05,1.5183352e-05,121327.56
69,11,15422,5.082034e-06,0.0007172021,6.7388195e-05,-5.2939625,-3.1443584,25179,168890.64,281973.1,2,108096.14,0.0,0.0005198184,8288.9375
70,11,15422,1.1481632e-05,0.0015066455,6.7388195e-05,-4.9399962,-2.8219888,32109,261838.11,309384.16,3,92947.47,0.0,0.0007894434,27411.062
71,11,15422,1.4932396e-05,0.0021047567,9.255853e-05,-4.8258705,-2.676798,45857,422647.16,325355.22,4,160809.05,2.5170331e-05,0.0005981112,15971.0625
72,11,15422,1.7128337e-05,0.002637764,9.255853e-05,-4.766285,-2.578764,62637,568778.8,389052.62,5,146131.66,0.0,0.0005330073,63697.406
73,11,15422,2.5912099e-05,0.0037719004,9.255853e-05,-4.5864973,-2.4234397,76354,659168.8,405158.72,6,90390.0,0.0,0.0011341365,16106.094
74,11,15422,3.0492205e-05,0.004520314,9.255853e-05,-4.515811,-2.3448315,101258,832124.75,427340.4,7,172955.94,0.0,0.0007484134,22181.688
75,11,15422,3.770744e-05,0.005627008,9.255853e-05,-4.423573,-2.2497225,115969,915977.25,442741.84,8,83852.5,0.0,0.0011066943,15401.4375
76,13,5177,4.3301843e-05,0.0067983894,0.002782389,-4.3634934,-2.167594,9229,51642.004,152356.6,0,,,,
77,13,5177,4.7122594e-05,0.0074676224,0.002782389,-4.326771,-2.1268177,10910,66657.97,273684.16,1,15015.965,0.0,0.00066923304,121327.56
78,13,5177,6.622635e-05,0.0102780685,0.002782389,-4.1789694,-1.9880885,25179,176960.84,281973.1,2,110302.875,0.0,0.002810446,8288.9375
79,13,5177,0.000100613106,0.015684035,0.002782389,-3.9973454,-1.8045422,32109,274153.0,309384.16,3,97192.16,0.0,0.005405966,27411.062
80,13,5177,0.0002649054,0.035654973,0.002782389,-3.5769093,-1.4478799,45857,450642.94,325355.22,4,176489.94,0.0,0.019970939,15971.0625
81,13,5177,0.00057820696,0.0733742,0.0032590458,-3.2379167,-1.1344566,62637,626391.2,389052.62,5,175748.25,0.0004766567,0.037719224,63697.406
82,13,5177,0.00067372574,0.08476553,0.0032590458,-3.171517,-1.0717807,76354,725725.5,405158.72,6,99334.31,0.0,0.011391334,16106.094
83,13,5177,0.0008163671,0.10077612,0.0032590458,-3.0881145,-0.99664235,101258,911252.75,427340.4,7,185527.25,0.0,0.01601059,22181.688
84,13,5177,0.00085966894,0.105554596,0.0032590458,-3.0656688,-0.97652286,115969,998857.25,442741.84,8,87604.5,0.0,0.0047784746,15401.4375
85,14,3700,5.9395214e-05,0.007158755,0.0,-4.2262487,-2.1451626,9229,62610.004,152356.6,0,,,,
86,14,3700,7.1796414e-05,0.008594683,0.0,-4.143897,-2.0657701,10910,79825.97,273684.16,1,17215.965,0.0,0.0014359285,121327.56
87,14,3700,0.00010834731,0.012749737,0.0,-3.9651818,-1.8944988,25179,196494.84,281973.1,2,116668.875,0.0,0.0041550538,8288.9375
88,14,3700,0.00011552696,0.013668732,0.0,-3.9373167,-1.8642718,32109,295095.0,309384.16,3,98600.16,0.0,0.00091899466,27411.062
89,14,3700,0.00014881438,0.017673666,0.0,-3.8273551,-1.7526734,45857,477720.94,325355.22,4,182625.94,0.0,0.004004934,15971.0625
90,14,3700,0.00020037725,0.02319383,1.309919e-05,-3.6981516,-1.6346275,62637,661926.7,389052.62,5,184205.75,1.309919e-05,0.005520165,63697.406
91,14,3700,0.00025455092,0.02811738,1.309919e-05,-3.5942254,-1.5510252,76354,768804.44,405158.72,6,106877.75,0.0,0.0049235485,16106.094
92,14,3700,0.00034984434,0.037778594,0.00048008523,-3.4561253,-1.4227542,101258,969133.7,427340.4,7,200329.25,0.00046698604,0.009661214,22181.688
93,14,3700,0.00041511378,0.043819465,0.00048008523,-3.3818328,-1.3583329,115969,1065993.5,442741.84,8,96859.81,0.0,0.006040871,15401.4375
94,15,24796,2.404259e-06,0.0006481196,8.829427e-05,-5.6190186,-3.188345,25179,219138.84,281973.1,2,,,,
95,15,24796,2.6046139e-06,0.00070212956,8.829427e-05,-5.5842566,-3.1535828,32109,319626.0,309384.16,3,100487.16,0.0,5.4009957e-05,27411.062
96,15,24796,3.921232e-06,0.00097290124,8.829427e-05,-5.4065776,-3.0119312,45857,511712.16,325355.22,4,192086.16,0.0,0.00027077168,15971.0625
97,15,24796,5.008873e-06,0.0011198409,0.00010211102,-5.30026,-2.9508436,62637,701051.7,389052.62,5,189339.53,1.38167525e-05,0.00014693965,63697.406
98,15,24796,6.6117123e-06,0.0013976424,0.00010211102,-5.179686,-2.854604,76354,817635.25,405158.72,6,116583.56,0.0,0.00027780153,16106.094
99,15,24796,7.813842e-06,0.0015817448,0.00010211102,-5.1071353,-2.8008635,101258,1024396.7,427340.4,7,206761.44,0.0,0.00018410233,22181.688
100,15,24796,8.643883e-06,0.0017405638,0.00010211102,-5.063291,-2.75931,115969,1126805.4,442741.84,8,102408.69,0.0,0.00015881902,15401.4375
101,16,2219,0.00020626141,0.059915654,0.003034592,-3.685582,-1.2224597,9229,114897.14,152356.6,0,,,,
102,16,2219,0.00025668085,0.08003491,0.005951093,-3.5906065,-1.0967206,10910,149670.75,273684.16,1,34773.61,0.0029165011,0.020119257,121327.56
103,16,2219,0.00040220976,0.115291275,0.005951093,-3.3955474,-0.9382036,25179,319751.12,281973.1,2,170080.38,0.0,0.035256363,8288.9375
104,16,2219,0.00054200913,0.1422893,0.005951093,-3.2659934,-0.84682775,32109,443798.88,309384.16,3,124047.75,0.0,0.02699802,27411.062
105,16,2219,0.0005958663,0.15867247,0.005951093,-3.2248511,-0.79949844,45857,650182.25,325355.22,4,206383.38,0.0,0.016383171,15971.0625
106,16,2219,0.00067722495,0.17501695,0.005951093,-3.169267,-0.75691986,62637,853785.3,389052.62,5,203603.06,0.0,0.016344488,63697.406
107,16,2219,0.0006921216,0.17989248,0.0071110036,-3.1598177,-0.744987,76354,974623.6,405158.72,6,120838.31,0.0011599106,0.004875526,16106.094
108,16,2219,0.000732228,0.1890595,0.0071110036,-3.1353536,-0.7234015,101258,1189385.0,427340.4,7,214761.38,0.0,0.009167016,22181.688
109,16,2219,0.00077118847,0.1939475,0.0071110036,-3.1128395,-0.7123158,115969,1296059.2,442741.84,8,106674.25,0.0,0.004887998,15401.4375
110,17,6437,2.048251e-05,0.002171146,0.0,-4.6886168,-2.663311,62637,856753.3,389052.62,5,,,,
111,17,6437,3.730743e-05,0.0038799725,0.0,-4.4282045,-2.4111714,76354,979927.6,405158.72,6,123174.31,0.0,0.0017088265,16106.094
112,17,6437,0.000120700504,0.012365558,0.000740194,-3.9182909,-1.9077863,101258,1206289.0,427340.4,7,226361.38,0.000740194,0.008485585,22181.688
113,17,6437,0.00020409358,0.023037063,0.000740194,-3.6901708,-1.6375729,115969,1327551.4,442741.84,8,121262.375,0.0,0.010671505,15401.4375
114,18,6227,2.1138336e-05,0.0045302794,0.00027875853,-4.674929,-2.343875,9229,127327.45,152356.6,0,,,,
115,18,6227,2.587624e-05,0.0054280953,0.00049333664,-4.587099,-2.2653525,10910,164564.52,273684.16,1,37237.062,0.00021457812,0.0008978159,121327.56
116,18,6227,4.04544e-05,0.0079638455,0.00049333664,-4.3930345,-2.0988772,25179,341602.56,281973.1,2,177038.05,0.0,0.0025357502,8288.9375
117,18,6227,5.7219288e-05,0.011048969,0.00049333664,-4.2424574,-1.9566783,32109,474115.38,309384.16,3,132512.81,0.0,0.0030851234,27411.062
118,18,6227,9.730924e-05,0.017910557,0.00049333664,-4.011846,-1.7468909,45857,699325.75,325355.22,4,225210.38,0.0,0.006861588,15971.0625
119,18,6227,0.00018514266,0.03137673,0.00049333664,-3.7324934,-1.5033923,62637,942845.75,389052.62,5,243520.0,0.0,0.013466174,63697.406
120,18,6227,0.00021940135,0.036306534,0.00049333664,-3.6587608,-1.4400152,76354,1079546.6,405158.72,6,136700.88,0.0,0.0049298033,16106.094
121,18,6227,0.00027479837,0.044195972,0.00049333664,-3.5609858,-1.3546174,101258,1327555.2,427340.4,7,248008.62,0.0,0.007889438,22181.688
122,18,6227,0.00030504804,0.049066156,0.00049333664,-3.5156317,-1.3092179,115969,1462180.5,442741.84,8,134625.25,0.0,0.0048701838,15401.4375
123,20,6374,4.964093e-06,0.00039216335,0.0031427487,-5.30416,-3.406533,25179,345510.56,281973.1,2,,,,
124,20,6374,9.37662e-06,0.0010439304,0.0031427487,-5.0279536,-2.9813285,32109,479900.03,309384.16,3,134389.47,0.0,0.00065176707,27411.062
125,20,6374,7.3358264e-05,0.008087749,0.0031427487,-4.134551,-2.0921724,45857,723858.0,325355.22,4,243957.97,0.0,0.007043818,15971.0625
126,20,6374,0.00014671653,0.014775899,0.0031427487,-3.833521,-1.8304461,62637,981588.75,389052.62,5,257730.75,0.0,0.0066881506,63697.406
127,20,6374,0.00023165767,0.024327619,0.0041506505,-3.6351533,-1.6139004,76354,1136997.1,405158.72,6,155408.38,0.0010079017,0.00955172,16106.094
128,20,6374,0.00051792036,0.056787584,0.0042660316,-3.285737,-1.2457466,101258,1445246.2,427340.4,7,308249.12,0.00011538109,0.032459967,22181.688
129,20,6374,0.0006938699,0.077668,0.0042660316,-3.158722,-1.1097579,115969,1618562.1,442741.84,8,173315.88,0.0,0.020880412,15401.4375
130,21,4128,4.809964e-05,0.005202777,6.224073e-05,-4.317858,-2.2837648,25179,363898.9,281973.1,2,,,,
131,21,4128,7.0168884e-05,0.008739216,6.224073e-05,-4.1538553,-2.0585275,32109,510787.3,309384.16,3,146888.4,0.0,0.003536439,27411.062
132,21,4128,0.00011968322,0.015029693,6.224073e-05,-3.9219668,-1.8230499,45857,776977.9,325355.22,4,266190.56,0.0,0.006290477,15971.0625
133,21,4128,0.0001615582,0.02063158,0.0001455476,-3.791671,-1.6854675,62637,1054507.5,389052.62,5,277529.62,8.330687e-05,0.0056018867,63697.406
134,21,4128,0.00018730566,0.023697004,0.0001455476,-3.7274492,-1.6253066,76354,1220750.1,405158.72,6,166242.62,0.0,0.003065424,16106.094
135,21,4128,0.0002455911,0.02995209,0.0001455476,-3.6097875,-1.5235729,101258,1551106.9,427340.4,7,330356.75,0.0,0.0062550865,22181.688
